Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d10.4s"	"2S"	"1/2"	" 0.00000000"	"0"	"2.00"	"                                                    "	"L10559"
"3d9.4s2"	"2D"	"5/2"	" 0.10208577"	"0.00000020"	"1.23"	"                                                    "	"L10559c152"
"3d9.4s2"	"2D"	"3/2"	" 0.12070136"	"0.00000017"	"0.80"	"                                                    "	"L10559c152"
"3d10.4p"	"2P*"	"1/2"	" 0.27825835"	"0.00000017"	"0.68"	"  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  "	"L10559c152"
"3d10.4p"	"2P*"	"3/2"	" 0.28052169"	"0.00000016"	"1.33"	"  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4P*"	"5/2"	" 0.3555645"	"0.0000003"	"1.600"	"  98                                                "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4P*"	"3/2"	" 0.3655458"	"0.0000003"	"1.75"	"  96                                                "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4F*"	"9/2"	" 0.3727917"	"0.0000005"	"1.3340"	" 100                                                "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4P*"	"1/2"	" 0.3731072"	"0.0000003"	"2.62"	"  97                                                "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4F*"	"7/2"	" 0.3750180"	"0.0000003"	"1.26"	"  89             :     8  3d9.(2D).4s.4p.(3P*) 2F*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4F*"	"5/2"	" 0.3787493"	"0.0000003"	""	"  81             :    16  3d9.(2D).4s.4p.(3P*) 2F*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4F*"	"3/2"	" 0.3854895"	"0.0000003"	"0.44"	"  95                                                "	"L10559c152"
"3d10.5s"	"2S"	"1/2"	" 0.39309535"	"0.00000015"	""	"                                                    "	"L18473c152"
"3d9.(2D).4s.4p.(3P*)"	"4D*"	"7/2"	" 0.3965288"	"0.0000003"	"1.45"	"  87             :    11  3d9.(2D).4s.4p.(3P*) 2F*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"2F*"	"5/2"	" 0.3984628"	"0.0000003"	""	"  51             :    38  3d9.(2D).4s.4p.(3P*) 4D*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4D*"	"5/2"	" 0.4046602"	"0.0000003"	"1.43"	"  43             :    33  3d9.(2D).4s.4p.(3P*) 2F*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4D*"	"3/2"	" 0.4059163"	"0.0000003"	"1.09"	"  65             :    26  3d9.(2D).4s.4p.(3P*) 2D*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"4D*"	"1/2"	" 0.4093018"	"0.0000004"	"0.00"	"  64             :    33  3d9.(2D).4s.4p.(3P*) 2P*  "	"L10559c152"
"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	" 0.4097354"	"0.0000003"	"1.22"	"  78             :    11  3d9.(2D).4s.4p.(3P*) 4F*  "	"L10559c152"
